id,title,url,img_url,chanell,rating
znT4W6n3WkI,"Power series representation using integration",http://www.youtube.com/watch?v=znT4W6n3WkI&feature=youtube_gdata,http://i1.ytimg.com/vi/znT4W6n3WkI/hqdefault.jpg,khanacademy,5.0
0VBQnR2h8XM,"Proof of angle addition formula for cosine",http://www.youtube.com/watch?v=0VBQnR2h8XM&feature=youtube_gdata,http://i1.ytimg.com/vi/0VBQnR2h8XM/hqdefault.jpg,khanacademy,4.586207
R0EQg9vgbQw,"Proof of angle addition formula for sine",http://www.youtube.com/watch?v=R0EQg9vgbQw&feature=youtube_gdata,http://i1.ytimg.com/vi/R0EQg9vgbQw/hqdefault.jpg,khanacademy,4.7894735
QGfdhqbilY8,"Inverse tan domain and range",http://www.youtube.com/watch?v=QGfdhqbilY8&feature=youtube_gdata,http://i1.ytimg.com/vi/QGfdhqbilY8/hqdefault.jpg,khanacademy,4.8333335
tCV9VyIIaw0,"Restricting domain of trig function to make invertible",http://www.youtube.com/watch?v=tCV9VyIIaw0&feature=youtube_gdata,http://i1.ytimg.com/vi/tCV9VyIIaw0/hqdefault.jpg,khanacademy,4.4545455
3yBYXNW1Nls,"Finding trig functions of special angles example",http://www.youtube.com/watch?v=3yBYXNW1Nls&feature=youtube_gdata,http://i1.ytimg.com/vi/3yBYXNW1Nls/hqdefault.jpg,khanacademy,4.9183674
KoYZErFpZ5Q,"Solving triangle in unit circle",http://www.youtube.com/watch?v=KoYZErFpZ5Q&feature=youtube_gdata,http://i1.ytimg.com/vi/KoYZErFpZ5Q/hqdefault.jpg,khanacademy,4.818182
_b-2rZpX5z4,"Creating new function from composition",http://www.youtube.com/watch?v=_b-2rZpX5z4&feature=youtube_gdata,http://i1.ytimg.com/vi/_b-2rZpX5z4/hqdefault.jpg,khanacademy,5.0
wUNWjd4bMmw,"Introduction to function composition",http://www.youtube.com/watch?v=wUNWjd4bMmw&feature=youtube_gdata,http://i1.ytimg.com/vi/wUNWjd4bMmw/hqdefault.jpg,khanacademy,4.428571
LG6g7gxupHg,"Modeling with function composition",http://www.youtube.com/watch?v=LG6g7gxupHg&feature=youtube_gdata,http://i1.ytimg.com/vi/LG6g7gxupHg/hqdefault.jpg,khanacademy,5.0
Wu6T4MVfZYI,"Restricting function domain to make invertible",http://www.youtube.com/watch?v=Wu6T4MVfZYI&feature=youtube_gdata,http://i1.ytimg.com/vi/Wu6T4MVfZYI/hqdefault.jpg,khanacademy,5.0
dHqwANL9IF4,"Solving equation involving function and inverse",http://www.youtube.com/watch?v=dHqwANL9IF4&feature=youtube_gdata,http://i1.ytimg.com/vi/dHqwANL9IF4/hqdefault.jpg,khanacademy,4.6923075
Obch1OP5QyA,"Writing in logarithmic and exponential form",http://www.youtube.com/watch?v=Obch1OP5QyA&feature=youtube_gdata,http://i1.ytimg.com/vi/Obch1OP5QyA/hqdefault.jpg,khanacademy,5.0
Iz6IVf8frjw,"Deducing with logarithmic and exponential form",http://www.youtube.com/watch?v=Iz6IVf8frjw&feature=youtube_gdata,http://i1.ytimg.com/vi/Iz6IVf8frjw/hqdefault.jpg,khanacademy,5.0
R443Db-wJ5o,"Solving exponential equation with logarithm",http://www.youtube.com/watch?v=R443Db-wJ5o&feature=youtube_gdata,http://i1.ytimg.com/vi/R443Db-wJ5o/hqdefault.jpg,khanacademy,4.9069767
mPQCHmOxGlY,"Function invertibility",http://www.youtube.com/watch?v=mPQCHmOxGlY&feature=youtube_gdata,http://i1.ytimg.com/vi/mPQCHmOxGlY/hqdefault.jpg,khanacademy,5.0
fvC0dm2wzIo,"Horizontal and vertical asymptotes of function",http://www.youtube.com/watch?v=fvC0dm2wzIo&feature=youtube_gdata,http://i1.ytimg.com/vi/fvC0dm2wzIo/hqdefault.jpg,khanacademy,4.826087
